DEBUG: connect from 128.223.6.113:38537
DEBUG: (send client!) connect from 130.49.221.40:50753
BLOCKTIME(e): 799 at 1160432942.147535
BLOCKTIME(e): 846 at 1160432942.148640
BLOCKTIME(e): 745 at 1160432942.353026
BLOCKTIME(e): 2640 at 1160432942.355931
BLOCKTIME(e): 764 at 1160432942.357039
BLOCKTIME(e): 765 at 1160432942.358037
BLOCKTIME(e): 723 at 1160432942.482847
BLOCKTIME(e): 743 at 1160432942.483902
BLOCKTIME(e): 845 at 1160432942.485042
BLOCKTIME(e): 763 at 1160432942.486050
BLOCKTIME(e): 879 at 1160432942.508503
BLOCKTIME(e): 957 at 1160432942.509725
BLOCKTIME(e): 723 at 1160432942.617887
BLOCKTIME(e): 745 at 1160432942.620694
BLOCKTIME(e): 771 at 1160432942.621712
BLOCKTIME(e): 765 at 1160432942.622695
BLOCKTIME(e): 747 at 1160432942.745088
BLOCKTIME(e): 768 at 1160432942.746149
BLOCKTIME(e): 810 at 1160432942.747182
BLOCKTIME(e): 840 at 1160432942.748366
BLOCKTIME(e): 724 at 1160432942.879801
BLOCKTIME(e): 745 at 1160432942.880856
BLOCKTIME(e): 149317 at 1160432943.030426
BLOCKTIME(e): 767 at 1160432943.031568
BLOCKTIME(e): 763 at 1160432943.032554
BLOCKTIME(e): 937 at 1160432943.033829
BLOCKTIME(e): 721 at 1160432943.034820
BLOCKTIME(e): 848 at 1160432943.035792
BLOCKTIME(e): 723 at 1160432943.875622
BLOCKTIME(e): 782 at 1160432943.876721
BLOCKTIME(e): 720 at 1160432943.877658
BLOCKTIME(e): 960 at 1160432943.878723
BLOCKTIME(e): 6356 at 1160432943.885439
BLOCKTIME(e): 901 at 1160432943.886502
BLOCKTIME(e): 741 at 1160432943.887374
BLOCKTIME(e): 800 at 1160432943.888266
BLOCKTIME(e): 741 at 1160432943.889243
BLOCKTIME(e): 814 at 1160432943.985022
BLOCKTIME(e): 739 at 1160432943.985959
BLOCKTIME(e): 836 at 1160432944.092917
BLOCKTIME(e): 1393 at 1160432944.094667
BLOCKTIME(e): 768 at 1160432944.144513
BLOCKTIME(e): 837 at 1160432944.200078
BLOCKTIME(e): 955 at 1160432944.202683
BLOCKTIME(e): 769 at 1160432944.203864
BLOCKTIME(e): 1030 at 1160432944.308930
BLOCKTIME(e): 153578 at 1160432944.463024
BLOCKTIME(e): 769 at 1160432944.464240
BLOCKTIME(e): 764 at 1160432944.465241
BLOCKTIME(e): 767 at 1160432944.466232
BLOCKTIME(e): 753 at 1160432944.467142
BLOCKTIME(e): 800 at 1160432944.468103
BLOCKTIME(e): 914 at 1160432944.622431
BLOCKTIME(e): 742 at 1160432944.623485
BLOCKTIME(e): 740 at 1160432944.624500
BLOCKTIME(e): 807 at 1160432944.749080
BLOCKTIME(e): 763 at 1160432944.750212
BLOCKTIME(e): 856 at 1160432944.751303
BLOCKTIME(e): 844 at 1160432944.752390
BLOCKTIME(e): 767 at 1160432944.753383
BLOCKTIME(e): 723 at 1160432944.945535
BLOCKTIME(e): 740 at 1160432944.946576
BLOCKTIME(e): 739 at 1160432944.947574
BLOCKTIME(e): 740 at 1160432944.948578
BLOCKTIME(e): 873 at 1160432944.999746
BLOCKTIME(e): 881 at 1160432945.000970
BLOCKTIME(e): 847 at 1160432945.002190
BLOCKTIME(e): 760 at 1160432945.003201
BLOCKTIME(e): 903 at 1160432945.124133
BLOCKTIME(e): 759 at 1160432945.125810
BLOCKTIME(e): 722 at 1160432945.127595
BLOCKTIME(e): 826 at 1160432945.129309
BLOCKTIME(e): 895 at 1160432945.222660
BLOCKTIME(e): 909 at 1160432945.224020
BLOCKTIME(e): 1319 at 1160432945.225839
BLOCKTIME(e): 764 at 1160432945.226915
BLOCKTIME(e): 990 at 1160432945.332496
BLOCKTIME(e): 1144 at 1160432945.334158
BLOCKTIME(e): 767 at 1160432945.335227
BLOCKTIME(e): 832 at 1160432945.336289
BLOCKTIME(e): 766 at 1160432945.490255
BLOCKTIME(e): 747 at 1160432945.491490
BLOCKTIME(e): 761 at 1160432945.501619
BLOCKTIME(e): 776 at 1160432945.502731
BLOCKTIME(e): 724 at 1160432945.615490
BLOCKTIME(e): 742 at 1160432945.616518
BLOCKTIME(e): 741 at 1160432945.617496
BLOCKTIME(e): 738 at 1160432945.618497
BLOCKTIME(e): 858 at 1160432945.737061
BLOCKTIME(e): 793 at 1160432945.738282
BLOCKTIME(e): 740 at 1160432945.739355
BLOCKTIME(e): 744 at 1160432945.740470
BLOCKTIME(e): 937 at 1160432945.835813
BLOCKTIME(e): 778 at 1160432945.837049
BLOCKTIME(e): 891 at 1160432945.838161
BLOCKTIME(e): 750 at 1160432945.859214
BLOCKTIME(e): 1007 at 1160432945.953117
BLOCKTIME(e): 1558 at 1160432945.955166
BLOCKTIME(e): 847 at 1160432945.956352
BLOCKTIME(e): 796 at 1160432945.966054
BLOCKTIME(e): 745 at 1160432946.059038
BLOCKTIME(e): 744 at 1160432946.064213
BLOCKTIME(e): 772 at 1160432946.065224
BLOCKTIME(e): 744 at 1160432946.079518
BLOCKTIME(e): 745 at 1160432946.167068
BLOCKTIME(e): 897 at 1160432946.172104
BLOCKTIME(e): 862 at 1160432946.173282
BLOCKTIME(e): 762 at 1160432946.195399
BLOCKTIME(e): 807 at 1160432946.274713
BLOCKTIME(e): 754 at 1160432946.279133
BLOCKTIME(e): 745 at 1160432946.282174
BLOCKTIME(e): 838 at 1160432946.304500
BLOCKTIME(e): 744 at 1160432946.384666
BLOCKTIME(e): 832 at 1160432946.388903
BLOCKTIME(e): 770 at 1160432946.390015
BLOCKTIME(e): 849 at 1160432946.416691
BLOCKTIME(e): 819 at 1160432946.497346
BLOCKTIME(e): 808 at 1160432946.499844
BLOCKTIME(e): 761 at 1160432946.500871
BLOCKTIME(e): 896 at 1160432946.604804
BLOCKTIME(e): 771 at 1160432946.605906
BLOCKTIME(e): 722 at 1160432946.628379
BLOCKTIME(e): 742 at 1160432946.629397
BLOCKTIME(e): 747 at 1160432946.715856
BLOCKTIME(e): 810 at 1160432946.716944
BLOCKTIME(e): 810 at 1160432946.742429
BLOCKTIME(e): 12840 at 1160432946.755537
BLOCKTIME(e): 723 at 1160432946.828277
BLOCKTIME(e): 742 at 1160432946.829334
BLOCKTIME(e): 774 at 1160432946.842688
BLOCKTIME(e): 832 at 1160432946.857406
BLOCKTIME(e): 887 at 1160432946.935450
BLOCKTIME(e): 764 at 1160432946.936544
BLOCKTIME(e): 760 at 1160432946.952839
BLOCKTIME(e): 833 at 1160432946.964667
BLOCKTIME(e): 889 at 1160432947.044672
BLOCKTIME(e): 1187 at 1160432947.046204
BLOCKTIME(e): 748 at 1160432947.056937
BLOCKTIME(e): 882 at 1160432947.077128
BLOCKTIME(e): 723 at 1160432947.156247
BLOCKTIME(e): 743 at 1160432947.157272
BLOCKTIME(e): 746 at 1160432947.179942
BLOCKTIME(e): 746 at 1160432947.186370
BLOCKTIME(e): 745 at 1160432947.268902
BLOCKTIME(e): 770 at 1160432947.269933
BLOCKTIME(e): 937 at 1160432947.278651
BLOCKTIME(e): 747 at 1160432947.293996
BLOCKTIME(e): 804 at 1160432947.378495
BLOCKTIME(e): 764 at 1160432947.379566
BLOCKTIME(e): 724 at 1160432947.393203
BLOCKTIME(e): 723 at 1160432947.406268
BLOCKTIME(e): 734 at 1160432947.486278
BLOCKTIME(e): 786 at 1160432947.487428
BLOCKTIME(e): 745 at 1160432947.505697
BLOCKTIME(e): 1742 at 1160432947.580853
BLOCKTIME(e): 723 at 1160432947.594224
BLOCKTIME(e): 781 at 1160432947.599523
BLOCKTIME(e): 746 at 1160432947.615367
BLOCKTIME(e): 1056 at 1160432947.743692
BLOCKTIME(e): 747 at 1160432947.745091
BLOCKTIME(e): 755 at 1160432947.746571
BLOCKTIME(e): 783 at 1160432947.747754
BLOCKTIME(e): 6829 at 1160432947.811613
BLOCKTIME(e): 744 at 1160432947.861722
BLOCKTIME(e): 766 at 1160432947.862739
BLOCKTIME(e): 899 at 1160432947.863900
BLOCKTIME(e): 723 at 1160432947.913166
BLOCKTIME(e): 824 at 1160432947.970218
BLOCKTIME(e): 810 at 1160432947.971342
BLOCKTIME(e): 813 at 1160432947.972377
BLOCKTIME(e): 745 at 1160432948.079755
BLOCKTIME(e): 762 at 1160432948.080833
BLOCKTIME(e): 763 at 1160432948.081818
BLOCKTIME(e): 762 at 1160432948.082808
BLOCKTIME(e): 826 at 1160432948.193301
BLOCKTIME(e): 851 at 1160432948.194420
BLOCKTIME(e): 871 at 1160432948.195527
BLOCKTIME(e): 2175 at 1160432948.197931
BLOCKTIME(e): 875 at 1160432948.301806
BLOCKTIME(e): 3456 at 1160432948.305575
BLOCKTIME(e): 769 at 1160432948.306670
BLOCKTIME(e): 789 at 1160432948.307689
BLOCKTIME(e): 870 at 1160432948.409199
BLOCKTIME(e): 860 at 1160432948.410459
BLOCKTIME(e): 764 at 1160432948.411481
BLOCKTIME(e): 723 at 1160432948.415068
BLOCKTIME(e): 888 at 1160432948.518497
BLOCKTIME(e): 1322 at 1160432948.520228
BLOCKTIME(e): 871 at 1160432948.521424
BLOCKTIME(e): 764 at 1160432948.522493
BLOCKTIME(e): 894 at 1160432948.628481
BLOCKTIME(e): 904 at 1160432948.629781
BLOCKTIME(e): 766 at 1160432948.630811
BLOCKTIME(e): 747 at 1160432948.663525
BLOCKTIME(e): 906 at 1160432948.754609
BLOCKTIME(e): 723 at 1160432948.762074
BLOCKTIME(e): 861 at 1160432948.764372
BLOCKTIME(e): 744 at 1160432948.771113
BLOCKTIME(e): 915 at 1160432948.869325
BLOCKTIME(e): 977 at 1160432948.870715
BLOCKTIME(e): 770 at 1160432948.871757
BLOCKTIME(e): 1398 at 1160432948.879864
BLOCKTIME(e): 746 at 1160432948.976429
BLOCKTIME(e): 8233 at 1160432948.988014
BLOCKTIME(e): 767 at 1160432948.999267
BLOCKTIME(e): 724 at 1160432949.052023
BLOCKTIME(e): 795 at 1160432949.092050
BLOCKTIME(e): 741 at 1160432949.093080
BLOCKTIME(e): 895 at 1160432949.094285
BLOCKTIME(e): 723 at 1160432949.159038
BLOCKTIME(e): 916 at 1160432949.199447
BLOCKTIME(e): 1643 at 1160432949.201497
BLOCKTIME(e): 770 at 1160432949.202599
BLOCKTIME(e): 746 at 1160432949.264586
BLOCKTIME(e): 3828 at 1160432949.333081
BLOCKTIME(e): 783 at 1160432949.334801
BLOCKTIME(e): 730 at 1160432949.336274
BLOCKTIME(e): 745 at 1160432949.378238
BLOCKTIME(e): 856 at 1160432949.426975
BLOCKTIME(e): 743 at 1160432949.428540
BLOCKTIME(e): 763 at 1160432949.429582
BLOCKTIME(e): 746 at 1160432949.487353
BLOCKTIME(e): 780 at 1160432949.536954
BLOCKTIME(e): 763 at 1160432949.538045
BLOCKTIME(e): 740 at 1160432949.538995
BLOCKTIME(e): 750 at 1160432949.596564
BLOCKTIME(e): 1161 at 1160432949.644763
BLOCKTIME(e): 917 at 1160432949.646141
BLOCKTIME(e): 762 at 1160432949.657591
BLOCKTIME(e): 745 at 1160432949.737064
BLOCKTIME(e): 859 at 1160432949.751282
BLOCKTIME(e): 748 at 1160432949.755542
BLOCKTIME(e): 723 at 1160432949.763867
BLOCKTIME(e): 723 at 1160432949.848761
BLOCKTIME(e): 995 at 1160432949.860661
BLOCKTIME(e): 746 at 1160432949.863476
BLOCKTIME(e): 804 at 1160432949.909561
BLOCKTIME(e): 746 at 1160432949.963373
BLOCKTIME(e): 750 at 1160432949.967426
BLOCKTIME(e): 818 at 1160432949.970773
BLOCKTIME(e): 792 at 1160432950.016713
BLOCKTIME(e): 723 at 1160432950.070891
BLOCKTIME(e): 722 at 1160432950.077834
BLOCKTIME(e): 879 at 1160432950.089559
BLOCKTIME(e): 723 at 1160432950.123740
BLOCKTIME(e): 2288 at 1160432950.184614
BLOCKTIME(e): 745 at 1160432950.185738
BLOCKTIME(e): 724 at 1160432950.191838
BLOCKTIME(e): 745 at 1160432950.239987
BLOCKTIME(e): 1925 at 1160432950.292398
BLOCKTIME(e): 746 at 1160432950.295259
BLOCKTIME(e): 759 at 1160432950.296247
BLOCKTIME(e): 744 at 1160432950.347960
BLOCKTIME(e): 778 at 1160432950.398378
BLOCKTIME(e): 920 at 1160432950.402394
BLOCKTIME(e): 723 at 1160432950.410754
BLOCKTIME(e): 744 at 1160432950.460203
BLOCKTIME(e): 756 at 1160432950.507803
BLOCKTIME(e): 847 at 1160432950.511805
BLOCKTIME(e): 751 at 1160432950.520230
BLOCKTIME(e): 937 at 1160432950.612347
BLOCKTIME(e): 730 at 1160432950.615050
BLOCKTIME(e): 724 at 1160432950.618723
BLOCKTIME(e): 746 at 1160432950.627382
BLOCKTIME(e): 746 at 1160432950.731560
BLOCKTIME(e): 769 at 1160432950.732585
BLOCKTIME(e): 2561 at 1160432950.735356
BLOCKTIME(e): 746 at 1160432950.773280
BLOCKTIME(e): 913 at 1160432950.838981
BLOCKTIME(e): 813 at 1160432950.840221
BLOCKTIME(e): 837 at 1160432950.841308
BLOCKTIME(e): 787 at 1160432950.880542
BLOCKTIME(e): 907 at 1160432950.948493
BLOCKTIME(e): 801 at 1160432950.949746
BLOCKTIME(e): 867 at 1160432950.952873
BLOCKTIME(e): 723 at 1160432950.987803
BLOCKTIME(e): 763 at 1160432951.056467
BLOCKTIME(e): 823 at 1160432951.059150
BLOCKTIME(e): 867 at 1160432951.060364
BLOCKTIME(e): 723 at 1160432951.095682
BLOCKTIME(e): 748 at 1160432951.163972
BLOCKTIME(e): 745 at 1160432951.167167
BLOCKTIME(e): 848 at 1160432951.169986
BLOCKTIME(e): 723 at 1160432951.210732
BLOCKTIME(e): 827 at 1160432951.274730
BLOCKTIME(e): 831 at 1160432951.275896
BLOCKTIME(e): 762 at 1160432951.276994
BLOCKTIME(e): 753 at 1160432951.320056
BLOCKTIME(e): 832 at 1160432951.382869
BLOCKTIME(e): 1182 at 1160432951.385742
BLOCKTIME(e): 761 at 1160432951.387321
BLOCKTIME(e): 746 at 1160432951.427192
BLOCKTIME(e): 1245 at 1160432951.511846
BLOCKTIME(e): 812 at 1160432951.515859
BLOCKTIME(e): 763 at 1160432951.517308
BLOCKTIME(e): 794 at 1160432951.595523
BLOCKTIME(e): 748 at 1160432951.625076
BLOCKTIME(e): 760 at 1160432951.626080
BLOCKTIME(e): 767 at 1160432951.627142
BLOCKTIME(e): 747 at 1160432951.703084
BLOCKTIME(e): 747 at 1160432951.730196
BLOCKTIME(e): 746 at 1160432951.733421
BLOCKTIME(e): 749 at 1160432951.737957
BLOCKTIME(e): 751 at 1160432951.813911
BLOCKTIME(e): 747 at 1160432951.839266
BLOCKTIME(e): 743 at 1160432951.863072
BLOCKTIME(e): 761 at 1160432951.864068
BLOCKTIME(e): 771 at 1160432951.921168
BLOCKTIME(e): 723 at 1160432951.948466
BLOCKTIME(e): 836 at 1160432951.970882
BLOCKTIME(e): 762 at 1160432951.971935
BLOCKTIME(e): 749 at 1160432952.030808
BLOCKTIME(e): 960 at 1160432952.055666
BLOCKTIME(e): 847 at 1160432952.078512
BLOCKTIME(e): 744 at 1160432952.081753
BLOCKTIME(e): 770 at 1160432952.137646
BLOCKTIME(e): 1231 at 1160432952.214328
BLOCKTIME(e): 881 at 1160432952.218214
BLOCKTIME(e): 1118 at 1160432952.220050
BLOCKTIME(e): 724 at 1160432952.265501
BLOCKTIME(e): 856 at 1160432952.292026
BLOCKTIME(e): 747 at 1160432952.325886
BLOCKTIME(e): 763 at 1160432952.326890
BLOCKTIME(e): 752 at 1160432952.373822
BLOCKTIME(e): 792 at 1160432952.401090
BLOCKTIME(e): 879 at 1160432952.433241
BLOCKTIME(e): 775 at 1160432952.434365
BLOCKTIME(e): 746 at 1160432952.482152
BLOCKTIME(e): 746 at 1160432952.511110
BLOCKTIME(e): 875 at 1160432952.542364
BLOCKTIME(e): 825 at 1160432952.564798
BLOCKTIME(e): 723 at 1160432952.591388
BLOCKTIME(e): 745 at 1160432952.618327
BLOCKTIME(e): 854 at 1160432952.656872
