DEBUG: connect from 10.1.1.3:32782
DEBUG: (send client!) connect from 10.1.1.4:32782
BLOCKTIME(e): 352 at 1160435302.904709
BLOCKTIME(e): 352 at 1160435302.943211
BLOCKTIME(e): 352 at 1160435302.985213
BLOCKTIME(e): 352 at 1160435303.000712
BLOCKTIME(e): 352 at 1160435303.035712
BLOCKTIME(e): 352 at 1160435303.070711
BLOCKTIME(e): 352 at 1160435303.099712
BLOCKTIME(e): 352 at 1160435303.137717
BLOCKTIME(e): 352 at 1160435303.172715
BLOCKTIME(e): 352 at 1160435303.201716
BLOCKTIME(e): 352 at 1160435303.222714
BLOCKTIME(e): 352 at 1160435303.273215
BLOCKTIME(e): 352 at 1160435303.302214
BLOCKTIME(e): 352 at 1160435303.313218
BLOCKTIME(e): 352 at 1160435303.346219
BLOCKTIME(e): 352 at 1160435303.386732
BLOCKTIME(e): 352 at 1160435303.414223
BLOCKTIME(e): 352 at 1160435303.437719
BLOCKTIME(e): 352 at 1160435303.461221
BLOCKTIME(e): 352 at 1160435303.502721
BLOCKTIME(e): 352 at 1160435303.527721
BLOCKTIME(e): 352 at 1160435303.548720
BLOCKTIME(e): 352 at 1160435303.591720
BLOCKTIME(e): 352 at 1160435303.620220
BLOCKTIME(e): 352 at 1160435303.638723
BLOCKTIME(e): 352 at 1160435303.667225
BLOCKTIME(e): 352 at 1160435303.702738
BLOCKTIME(e): 352 at 1160435303.732225
BLOCKTIME(e): 352 at 1160435303.754226
BLOCKTIME(e): 352 at 1160435303.796225
BLOCKTIME(e): 352 at 1160435303.815226
BLOCKTIME(e): 352 at 1160435303.841739
BLOCKTIME(e): 352 at 1160435303.858739
BLOCKTIME(e): 352 at 1160435303.907229
BLOCKTIME(e): 352 at 1160435303.926729
BLOCKTIME(e): 352 at 1160435303.940727
BLOCKTIME(e): 352 at 1160435303.962743
BLOCKTIME(e): 352 at 1160435304.011730
BLOCKTIME(e): 352 at 1160435304.030742
BLOCKTIME(e): 352 at 1160435304.054730
BLOCKTIME(e): 352 at 1160435304.067730
BLOCKTIME(e): 352 at 1160435304.116242
BLOCKTIME(e): 390 at 1160435304.133770
BLOCKTIME(e): 352 at 1160435304.148234
BLOCKTIME(e): 352 at 1160435304.169242
BLOCKTIME(e): 352 at 1160435304.218734
BLOCKTIME(e): 352 at 1160435304.238245
BLOCKTIME(e): 352 at 1160435304.251232
BLOCKTIME(e): 365 at 1160435304.273745
BLOCKTIME(e): 351 at 1160435304.321733
BLOCKTIME(e): 366 at 1160435304.333749
BLOCKTIME(e): 352 at 1160435304.352236
BLOCKTIME(e): 352 at 1160435304.376236
BLOCKTIME(e): 352 at 1160435304.394240
BLOCKTIME(e): 352 at 1160435304.437236
BLOCKTIME(e): 352 at 1160435304.455236
BLOCKTIME(e): 352 at 1160435304.477738
BLOCKTIME(e): 352 at 1160435304.494740
BLOCKTIME(e): 352 at 1160435304.540239
BLOCKTIME(e): 351 at 1160435304.555238
BLOCKTIME(e): 352 at 1160435304.580738
BLOCKTIME(e): 352 at 1160435304.597739
BLOCKTIME(e): 352 at 1160435304.636242
BLOCKTIME(e): 352 at 1160435304.655255
BLOCKTIME(e): 352 at 1160435304.669741
BLOCKTIME(e): 352 at 1160435304.690741
BLOCKTIME(e): 352 at 1160435304.739242
BLOCKTIME(e): 352 at 1160435304.758241
BLOCKTIME(e): 352 at 1160435304.771243
BLOCKTIME(e): 352 at 1160435304.793243
BLOCKTIME(e): 351 at 1160435304.812243
BLOCKTIME(e): 352 at 1160435304.853743
BLOCKTIME(e): 352 at 1160435304.875244
BLOCKTIME(e): 352 at 1160435304.896244
BLOCKTIME(e): 352 at 1160435304.911245
BLOCKTIME(e): 352 at 1160435304.957247
BLOCKTIME(e): 352 at 1160435304.977760
BLOCKTIME(e): 352 at 1160435304.998746
BLOCKTIME(e): 352 at 1160435305.014747
BLOCKTIME(e): 352 at 1160435305.060246
BLOCKTIME(e): 352 at 1160435305.072262
BLOCKTIME(e): 352 at 1160435305.089249
BLOCKTIME(e): 352 at 1160435305.107747
BLOCKTIME(e): 352 at 1160435305.157252
BLOCKTIME(e): 352 at 1160435305.175249
BLOCKTIME(e): 352 at 1160435305.191250
BLOCKTIME(e): 352 at 1160435305.210751
BLOCKTIME(e): 352 at 1160435305.229751
BLOCKTIME(e): 352 at 1160435305.271250
BLOCKTIME(e): 352 at 1160435305.295751
BLOCKTIME(e): 352 at 1160435305.313749
BLOCKTIME(e): 352 at 1160435305.328253
BLOCKTIME(e): 352 at 1160435305.373253
BLOCKTIME(e): 352 at 1160435305.395768
BLOCKTIME(e): 352 at 1160435305.414754
BLOCKTIME(e): 352 at 1160435305.431252
BLOCKTIME(e): 352 at 1160435305.476254
BLOCKTIME(e): 352 at 1160435305.488269
BLOCKTIME(e): 353 at 1160435305.507757
BLOCKTIME(e): 351 at 1160435305.526269
BLOCKTIME(e): 352 at 1160435305.574758
BLOCKTIME(e): 352 at 1160435305.591255
BLOCKTIME(e): 352 at 1160435305.610756
BLOCKTIME(e): 352 at 1160435305.627759
BLOCKTIME(e): 351 at 1160435305.646759
BLOCKTIME(e): 352 at 1160435305.689759
BLOCKTIME(e): 352 at 1160435305.712757
BLOCKTIME(e): 352 at 1160435305.730757
BLOCKTIME(e): 352 at 1160435305.749760
BLOCKTIME(e): 352 at 1160435305.790260
BLOCKTIME(e): 352 at 1160435305.813273
BLOCKTIME(e): 352 at 1160435305.832761
BLOCKTIME(e): 351 at 1160435305.848260
BLOCKTIME(e): 352 at 1160435305.893260
BLOCKTIME(e): 352 at 1160435305.916261
BLOCKTIME(e): 352 at 1160435305.926277
BLOCKTIME(e): 352 at 1160435305.943791
BLOCKTIME(e): 352 at 1160435305.992263
BLOCKTIME(e): 352 at 1160435306.008764
BLOCKTIME(e): 352 at 1160435306.029763
BLOCKTIME(e): 352 at 1160435306.045266
BLOCKTIME(e): 352 at 1160435306.064767
BLOCKTIME(e): 352 at 1160435306.106767
BLOCKTIME(e): 352 at 1160435306.131265
BLOCKTIME(e): 352 at 1160435306.148266
BLOCKTIME(e): 352 at 1160435306.167766
BLOCKTIME(e): 352 at 1160435306.207769
BLOCKTIME(e): 352 at 1160435306.230781
BLOCKTIME(e): 352 at 1160435306.250269
BLOCKTIME(e): 352 at 1160435306.265769
BLOCKTIME(e): 352 at 1160435306.310768
BLOCKTIME(e): 352 at 1160435306.333768
BLOCKTIME(e): 352 at 1160435306.343783
BLOCKTIME(e): 352 at 1160435306.361271
BLOCKTIME(e): 352 at 1160435306.409771
BLOCKTIME(e): 352 at 1160435306.425271
BLOCKTIME(e): 351 at 1160435306.447270
BLOCKTIME(e): 364 at 1160435306.464282
BLOCKTIME(e): 352 at 1160435306.481273
BLOCKTIME(e): 352 at 1160435306.523774
BLOCKTIME(e): 352 at 1160435306.550274
BLOCKTIME(e): 351 at 1160435306.565273
BLOCKTIME(e): 364 at 1160435306.584285
BLOCKTIME(e): 352 at 1160435306.626774
BLOCKTIME(e): 351 at 1160435306.647776
BLOCKTIME(e): 352 at 1160435306.667783
